# size stringref buffer js
64 5.77692e-07 8.14681e-07 4.18517e-07
76 6.62058e-07 9.10319e-07 4.68753e-07
90 7.61241e-07 1.09267e-06 5.29373e-07
107 8.79387e-07 1.2375e-06 5.99377e-07
128 1.023e-06 1.40907e-06 6.89761e-07
152 1.185e-06 1.60781e-06 7.87199e-07
181 1.39561e-06 1.84498e-06 9.08444e-07
215 1.6315e-06 2.12843e-06 1.05117e-06
256 1.92377e-06 2.46997e-06 1.22438e-06
304 2.26574e-06 2.87155e-06 1.435e-06
362 2.68123e-06 3.3481e-06 1.685e-06
430 3.16225e-06 3.91626e-06 1.955e-06
512 3.74001e-06 4.61246e-06 2.34436e-06
608 4.44598e-06 5.41693e-06 2.73813e-06
724 5.28548e-06 6.36562e-06 3.28002e-06
861 6.46101e-06 7.50757e-06 3.87127e-06
1024 7.55996e-06 8.88998e-06 4.61255e-06
1217 8.9335e-06 1.04976e-05 5.47629e-06
1448 1.05161e-05 1.24926e-05 6.31006e-06
1722 1.2454e-05 1.47451e-05 7.45882e-06
2048 1.48051e-05 1.74004e-05 9.70767e-06
2435 1.75862e-05 2.06341e-05 1.10988e-05
2896 2.08745e-05 2.45183e-05 1.40403e-05
3444 2.47523e-05 2.90403e-05 1.67627e-05
4096 2.95517e-05 3.45805e-05 2.16979e-05
4870 3.51405e-05 4.10557e-05 2.50252e-05
5792 4.16649e-05 4.8689e-05 3.15213e-05
6888 4.92944e-05 5.75423e-05 3.05434e-05
8192 5.88624e-05 6.90234e-05 4.81272e-05
9741 7.02765e-05 8.19265e-05 5.36271e-05
11585 8.41634e-05 9.67e-05 6.30451e-05
13777 9.86868e-05 0.000115965 7.74908e-05
16384 0.0001173 0.000136656 0.00010176
19483 0.000138697 0.00016134 0.000129875
23170 0.000167663 0.0001902 0.000153915
27554 0.000195788 0.000224676 0.000182786
32768 0.000229584 0.000264632 0.000217621
38967 0.0002729 0.000315199 0.000258439
46340 0.000323102 0.000374415 0.000306667
55108 0.000384556 0.000445467 0.000363434
65536 0.000454133 0.000529703 0.000431143
77935 0.000542476 0.000278728 0.00051066
92681 0.000653921 0.000334617 0.000610586
110217 0.000771781 0.000392857 0.000725389
131072 0.00105753 0.000469118 0.000710597
155871 0.00124227 0.000559293 0.00102121
185363 0.00148378 0.000664596 0.00121564
220435 0.00172775 0.000793273 0.00143844
262144 0.00206818 0.000944867 0.00171479
311743 0.00246585 0.00112313 0.00202326
370727 0.00291202 0.0013473 0.00241422
440871 0.00346342 0.00164506 0.00287097
524288 0.00412917 0.00195072 0.00339085
623487 0.00509901 0.00230858 0.004025
741455 0.00590588 0.00274652 0.00478431
881743 0.00704196 0.00342904 0.00567442
1048576 0.00829752 0.00393774 0.00673611
